###,Temple,Dedicated,Square-feet,Height (feet),Rededicated?,Num_Spires,Spire_Attached,Angel_Moroni,Instruction_Rooms,Sealing_Rooms,Baptismal_Fonts,Square_Footage,Acreage
174,belem brazil temple,20 Nov 2022,"28,675",89,,1,Attached,Yes,2,2,1,"28,675",6.7
180,bentonville arkansas temple,17 Sep 2023,"28,472",112,,1,Attached,No,2,2,1,"28,472",18.62
141,tegucigalpa honduras temple,17 Mar 2013,"28,254",135 ,,1,Attached,Yes,2,2,1,"28,254",13.6
147,trujillo peru temple,21 Jun 2015,"28,200",91,,1,Attached,Yes,2,2,1,"28,200",8.9
131,vancouver british columbia temple,02 May 2010,"28,165",140,,1,Attached,Yes,2,2,1,"28,165",11.6
037,seoul south korea temple,14 Dec 1985,"28,057",112,,6,Detached,Yes,4,3,1,"28,057",1
135,san salvador el salvador temple,21 Aug 2011,"27,986",118,,1,Attached,Yes,2,2,1,"27,986",6.5
183,mcallen texas temple,08 Oct 2023,"27,897",108,,1,Attached,No,2,2,1,"27,897",10.61
126,curitiba brazil temple,01 Jun 2008,"27,850",125,,1,Attached,Yes,2,2,1,"27,850",8.15
194,salta argentina temple,16 Jun 2024,"27,111",100,,1,Attached,Yes,2,2,1,"27,000",17.72
040,denver colorado temple,24 Oct 1986,"27,006",90,,1,Attached,Yes,4,5,1,"29,117",7.5
167,arequipa peru temple,15 Dec 2019,"26,969",125,,1,Attached,Yes,2,2,1,"26,969",7.91
029,manila philippines temple,25 Sep 1984,"26,683",115,,6,Detached,Yes,4,3,1,"26,683",3.5
181,brasilia brazil temple,17 Sep 2023,"25,000",80,,1,Attached,No,2,2,1,"25,000",6
118,copenhagen denmark temple,23 May 2004,"25,000",61,,1,Detached,Yes,2,2,1,"25,000",0.6
166,lisbon portugal temple,15 Sep 2019,"24,900",134,,1,Attached,Yes,2,1,1,"23,730",4.6
160,concepcion chile temple,28 Oct 2018,"23,095",124,,1,Attached,Yes,2,2,1,"23,095",4.06
161,barranquilla colombia temple,09 Dec 2018,"23,050",107,,1,Attached,Yes,2,1,1,"25,349",5.93
134,kyiv ukraine temple,29 Aug 2010,"22,000",138,,1,Attached,Yes,2,2,1,"22,184",12.35
048,hong kong china temple,26 May 1996,"21,744",135,,1,Attached,No,2,2,1,"51,921",0.31
033,freiberg germany temple,29 Jun 1985,"21,529",68,Yes (x2),1,Attached,Yes,2,2,1,"21,500",3.58
023,nuku'alofa tonga temple,09 Aug 1983,"21,184",75,Yes,1,Attached,Yes,2,3,1,"21,184",1.2
136,quetzaltenango guatemala temple,16 Dec 2011,"21,085",80,,1,Attached,Yes,2,2,1,"21,085",6.47
024,santiago chile temple,15 Sep 1983,"20,831",76,Yes,1,Attached,Yes,2,3,1,"20,831",2.61
119,manhattan new york temple,13 Jun 2004,"20,630",120,,1,Attached,Yes,2,2,1,"20,630",0.3
168,durban south africa temple,16 Feb 2020,"19,860",97,,1,Attached,Yes,1,1,1,"19,860",14.49
123,sacramento california temple,03 Sep 2006,"19,500",131,,1,Attached,Yes,2,4,1,"19,500",46
036,johannesburg south africa temple,24 Aug 1985,"19,184",112 ,,6,Detached,Yes,4,3,1,"19,184",1
127,panama city panama temple,10 Aug 2008,"18,943",111,,1,Attached,Yes,2,2,1,"18,943",6.96
022,apia samoa temple,05 Aug 1983,"18,691",75,Yes,1,Attached,Yes,2,2,1,"18,691",2
108,snowflake arizona temple,03 Mar 2002,"18,621",60,,1,Attached,Yes,2,2,1,"18,621",7.5
154,star valley wyoming temple,30 Oct 2016,"18,609",123,,1,Attached,Yes,1,1,1,"18,609",43.6
132,the gila valley arizona temple,23 May 2010,"18,561",100,,1,Attached,Yes,2,2,1,"18,561",17
122,newport beach california temple,28 Aug 2005,"17,800",90 ,,1,Attached,Yes,2,3,1,"17,800",8.8
117,accra ghana temple,11 Jan 2004,"17,500",90,,1,Attached,Yes,2,2,1,"17,500",6
116,redlands california temple,14 Sep 2003,"17,279",139,,1,Attached,Yes,2,3,1,"17,300",4.6
107,columbia river washington temple,18 Nov 2001,"16,880",94,,1,Attached,Yes,2,2,1,"16,880",2.88
120,san antonio texas temple,22 May 2005,"16,800",115,,1,Attached,Yes,2,2,1,"16,800",5.5
124,helsinki finland temple,22 Oct 2006,"16,350",139,,1,Attached,Yes,2,2,1,"16,350",7.4
109,lubbock texas temple,21 Apr 2002,"16,498",108,,1,Attached,Yes,2,2,1,"16,498",2.7
169,winnipeg manitoba temple,31 Oct 2021,"16,100",105,,1,Attached,Yes,1,1,1,"16,100",7.7
110,monterrey mexico temple,28 Apr 2002,"16,017",80 ,,1,Attached,Yes,2,2,1,"16,498",7.78
104,winter quarters nebraska temple,22 Apr 2001,"16,000",84,,1,Attached,Yes,2,2,1,"16,000",1.92
096,caracas venezuela temple,20 Aug 2000,"15,332",71,,1,Attached,Yes,2,2,1,"15,332",0.5
114,the hague netherlands temple,08 Sep 2002,"14,477",71,,1,Attached,Yes,2,2,1,"14,477",2.7
094,baton rouge louisiana temple,16 Jul 2000,"13,062",71,Yes,1,Attached,Yes,2,2,1,"10,890",6.3
080,memphis tennessee temple,23 Apr 2000,"12,864",71,Yes ,1,Attached,Yes,2,2,1,"10,890",6.35
068,raleigh north carolina temple,18 Dec 2000,"12,864",71,Yes,1,Attached,Yes,2,2,1,"12,864",3.17
091,suva fiji temple,18 Jun 2000,"12,755",71,Yes,1,Attached,Yes,2,2,1,"12,755",4.7
186,okinawa japan temple,12 Nov 2023,"12,437",105,,1,Attached,No,1,1,1,"12,437",0.55
025,papeete tahiti temple,27 Oct 1983,"12,150",66,Yes,1,Attached,Yes,2,2,1,"12,150",1.7
163,kinshasa democratic republic of the congo temple,14 Apr 2019,"12,090",55,Yes,1,Attached,No,1,1,1,"12,000",5
054,anchorage alaska temple,09 Jan 1999,"11,937",71,Yes,1,Attached,Yes,2,1,1,"11,937",5.4
112,asuncion paraguay temple,19 May 2002,"11,906",71,Yes,1,Attached,Yes,2,2,1,"11,906",1.13
032,guatemala city guatemala temple,14 Dec 1984,"11,610",126,,6,Detached,Yes,4,3,1,"11,610",1.4
086,montreal quebec temple,04 Jun 2000,"11,500",71,Yes,1,Attached,Yes,2,2,1,"11,550",2.4
121,aba nigeria temple,07 Aug 2005,"11,500",72,,1,Attached,Yes,2,2,1,"11,500",6.3
053,monticello utah temple,26 Jul 1998,"11,225",66,Yes,1,Attached,Yes,2,2,1,"11,225",1.33
095,oklahoma city oklahoma temple,30 Jul 2000,"10,769",71,,1,Attached,Yes,2,2,1,"10,890",1
059,spokane washington temple,21 Aug 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2
060,columbus ohio temple,04 Sep 1999,"10,700",77 ,,1,Attached,Yes,2,2,1,"11,745",5
061,bismarck north dakota temple,19 Sep 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",1.6
062,columbia south carolina temple,16 Oct 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",3.6
063,detroit michigan temple,23 Oct 1999,"10,700",71 ,,1,Attached,Yes,2,2,1,"10,700",6.34
064,halifax nova scotia temple,14 Nov 1999,"10,700",71,,1,Attached,Yes,2,2,1,"10,700",2
